epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6622,2.17245,6.57985,1.13053,0.0034,0.58781,0.00217,0.00113,nan,nan,nan,0.000651163,0.000651163,0.000651163
2,150.883,1.75553,1.16828,1.07274,0.00341,0.58926,0.00217,0.00113,nan,nan,nan,0.00129174,0.00129174,0.00129174
3,252.449,1.70958,1.15829,1.0589,0.00341,0.58926,0.00217,0.00113,nan,nan,nan,0.00190591,0.00190591,0.00190591
4,354.046,1.74635,1.1742,1.0604,0.00341,0.58926,0.00217,0.00113,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,405.399,1.91477,1.27017,1.11033,0.01255,0.09144,0.0024,0.00073,3.57987,inf,2.13145,0.0018416,0.0018416,0.0018416
6,456.258,1.7733,0.94302,1.07608,0.22418,0.02612,0.0183,0.00741,4.23523,27.4223,3.35321,0.001802,0.001802,0.001802
7,506.613,1.78138,0.94264,1.06469,0.83019,0.3193,0.29796,0.13138,1.76924,4.47431,0.89971,0.0017624,0.0017624,0.0017624
8,557.549,1.68472,0.91,1.0536,0.90072,0.89405,0.9035,0.45186,1.49675,0.76722,0.82427,0.0017228,0.0017228,0.0017228
9,608.324,1.68752,0.85161,1.04692,0.90893,0.67054,0.72886,0.30508,2.01797,0.92259,0.93729,0.0016832,0.0016832,0.0016832
10,658.772,1.64052,0.85608,1.01675,0.93651,0.85634,0.88846,0.50901,1.39379,0.67973,0.81325,0.0016436,0.0016436,0.0016436
11,709.656,1.69404,0.85306,1.04564,0.9225,0.90566,0.91618,0.40389,1.73679,0.85988,0.88973,0.001604,0.001604,0.001604
12,759.953,1.65965,0.85943,1.01981,0.74134,0.91147,0.70642,0.3807,1.40886,1.06356,0.80809,0.0015644,0.0015644,0.0015644
13,810.686,1.64377,0.81585,1.02796,0.93276,0.90596,0.93014,0.50771,1.41869,0.63334,0.81155,0.0015248,0.0015248,0.0015248
14,861.226,1.61924,0.78352,1.03175,0.92161,0.92149,0.93462,0.51779,1.38215,0.65629,0.80494,0.0014852,0.0014852,0.0014852
15,912.148,1.59227,0.77938,1.01376,0.95161,0.92453,0.94733,0.51659,1.39673,0.63092,0.81149,0.0014456,0.0014456,0.0014456
16,962.498,1.62059,0.78632,1.02353,0.94882,0.94173,0.95462,0.52887,1.27717,0.60968,0.78601,0.001406,0.001406,0.001406
17,1013.1,1.58481,0.75696,1.02816,0.94303,0.90566,0.9413,0.52725,1.41886,0.69368,0.81218,0.0013664,0.0013664,0.0013664
18,1063.65,1.58452,0.75795,1.01536,0.89853,0.87808,0.8772,0.47239,1.50804,0.67785,0.82043,0.0013268,0.0013268,0.0013268
19,1114.11,1.56109,0.75462,0.99446,0.92989,0.80854,0.85161,0.4453,1.65828,0.78127,0.84486,0.0012872,0.0012872,0.0012872
20,1164.73,1.56742,0.7345,1.0018,0.96266,0.89804,0.93912,0.53048,1.3783,0.63257,0.80832,0.0012476,0.0012476,0.0012476
21,1215.49,1.55029,0.72626,1.00047,0.90617,0.8418,0.85783,0.45729,1.55239,0.69683,0.82841,0.001208,0.001208,0.001208
22,1266.08,1.5636,0.717,1.00188,0.96263,0.89737,0.93797,0.53133,1.41351,0.65079,0.82008,0.0011684,0.0011684,0.0011684
23,1316.85,1.56876,0.71284,1.00368,0.93168,0.89062,0.90146,0.47203,1.52701,0.63478,0.82798,0.0011288,0.0011288,0.0011288
24,1367.34,1.54664,0.72153,0.99526,0.92436,0.90566,0.917,0.46947,1.54961,0.62067,0.83429,0.0010892,0.0010892,0.0010892
25,1417.94,1.54182,0.7083,1.01079,0.98178,0.90421,0.94322,0.48555,1.52763,0.646,0.83661,0.0010496,0.0010496,0.0010496
26,1468.33,1.49599,0.69627,1.00255,0.94124,0.90711,0.9237,0.54549,1.28095,0.57544,0.78796,0.00101,0.00101,0.00101
27,1519.33,1.53484,0.68906,1.00997,0.92973,0.88329,0.90088,0.49998,1.44738,0.62579,0.82158,0.0009704,0.0009704,0.0009704
28,1569.9,1.51193,0.67368,0.99016,0.88565,0.87808,0.87558,0.49254,1.47444,0.61189,0.81904,0.0009308,0.0009308,0.0009308
29,1620.26,1.49791,0.67428,0.99302,0.93905,0.91683,0.93275,0.48942,1.50395,0.59642,0.8325,0.0008912,0.0008912,0.0008912
30,1670.62,1.51037,0.67312,0.98307,0.92106,0.84676,0.88133,0.49004,1.46017,0.61135,0.82148,0.0008516,0.0008516,0.0008516
31,1721.02,1.48885,0.65932,0.98667,0.92105,0.88679,0.89811,0.48515,1.49377,0.64207,0.83065,0.000812,0.000812,0.000812
32,1771.79,1.52515,0.66657,0.98929,0.90898,0.8407,0.86635,0.45259,1.66451,0.69307,0.85041,0.0007724,0.0007724,0.0007724
33,1822.24,1.44855,0.63986,0.99374,0.9103,0.86938,0.88294,0.52728,1.37623,0.60129,0.80191,0.0007328,0.0007328,0.0007328
34,1873.01,1.50138,0.65822,0.9862,0.94942,0.92743,0.94586,0.5203,1.44953,0.62488,0.82408,0.0006932,0.0006932,0.0006932
35,1923.57,1.44759,0.63631,0.97046,0.93859,0.90945,0.92335,0.51679,1.40801,0.56626,0.81306,0.0006536,0.0006536,0.0006536
36,1974.1,1.4783,0.63415,0.97432,0.93901,0.91001,0.92006,0.52683,1.36986,0.57488,0.80318,0.000614,0.000614,0.000614
