epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,312.93,1.11626,0.4295,0.94209,0.98544,0.98629,0.99242,0.6743,1.16309,0.89352,0.93649,0.000663818,0.000663818,0.000663818
2,632.119,1.12182,0.44765,0.93979,0.98388,0.98282,0.99296,0.6578,1.19634,0.85448,0.94473,0.00124267,0.00124267,0.00124267
3,951.812,1.14702,0.46711,0.9467,0.96931,0.98509,0.98859,0.65733,1.1995,1.07026,0.94828,0.00173353,0.00173353,0.00173353
4,1270.14,1.15042,0.47149,0.94655,0.98424,0.98595,0.99132,0.67049,1.16924,0.88227,0.93636,0.001604,0.001604,0.001604
5,1589.45,1.13623,0.46081,0.94453,0.98299,0.98561,0.99016,0.66414,1.18373,1.00681,0.94244,0.001472,0.001472,0.001472
6,1909.28,1.14032,0.44385,0.98234,0.97927,0.98733,0.99084,0.66293,1.18481,0.93404,0.94131,0.00134,0.00134,0.00134
7,2226.45,1.1351,0.44089,0.97629,0.98296,0.98509,0.99131,0.66113,1.19955,0.98569,0.94807,0.001208,0.001208,0.001208
8,2542.89,1.12754,0.43032,0.9772,0.98039,0.98503,0.99223,0.67178,1.18782,0.8669,0.94287,0.001076,0.001076,0.001076
9,2859.14,1.10947,0.4211,0.97001,0.98228,0.98783,0.99253,0.67285,1.17192,0.84816,0.93418,0.000944,0.000944,0.000944
10,3175.8,1.10617,0.41737,0.97163,0.98412,0.98744,0.99169,0.67401,1.15371,0.94983,0.93262,0.000812,0.000812,0.000812
11,3493.75,1.0896,0.40674,0.96609,0.98822,0.98646,0.99334,0.67684,1.15712,0.78931,0.93296,0.00068,0.00068,0.00068
12,3810.51,1.08472,0.39636,0.96375,0.98859,0.98663,0.99326,0.67532,1.16088,0.74549,0.93412,0.000548,0.000548,0.000548
13,4127.11,1.07304,0.39036,0.95918,0.98969,0.98686,0.99363,0.68237,1.14082,0.71683,0.93016,0.000416,0.000416,0.000416
14,4444.63,1.06601,0.38871,0.95929,0.98792,0.98766,0.99317,0.68516,1.13635,0.76666,0.92745,0.000284,0.000284,0.000284
15,4761.7,1.039,0.37727,0.95016,0.98862,0.98663,0.99284,0.68563,1.13721,0.74667,0.92855,0.000152,0.000152,0.000152
